epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95865,1.91233,5.18911,2.10047,0.62998,0.5,0.56597,0.27155,1.68307,5.473,2.45334,4e-05,4e-05,4e-05
2,11.6016,1.338,2.96402,1.76096,0.85119,0.875,0.8125,0.49138,1.51215,8.25855,2.16774,9.99939e-05,9.99939e-05,9.99939e-05
3,15.6896,1.38378,2.38239,1.76884,0.86105,0.875,0.78125,0.45242,1.40185,5.9593,1.92327,0.000159961,0.000159961,0.000159961
4,19.6556,1.17293,1.93069,1.63995,0.98072,0.875,0.875,0.48467,1.48594,5.98835,2.04867,0.000219879,0.000219879,0.000219879
5,23.6182,1.28363,1.94235,1.51736,0.56599,0.5,0.54706,0.30399,1.59559,4.83582,2.16425,0.000279727,0.000279727,0.000279727
6,27.5353,1.01722,1.82188,1.34649,0.97448,0.5,0.67972,0.42832,1.50685,5.40388,2.0913,0.000339481,0.000339481,0.000339481
7,31.6637,0.96037,1.6122,1.30326,0.47478,1,0.74071,0.33907,1.6615,5.83242,2.60939,0.000399121,0.000399121,0.000399121
8,35.7427,0.86569,1.3379,1.29273,0.65936,0.75,0.61612,0.29994,1.9571,6.4492,3.17228,0.000458625,0.000458625,0.000458625
9,39.82,0.80715,1.14203,1.20851,0.48208,0.25,0.12843,0.05392,2.19373,5.60744,3.22928,0.00051797,0.00051797,0.00051797
10,43.8131,0.97181,1.23136,1.31085,0.5608,0.48139,0.35945,0.14606,2.02394,4.98827,2.78045,0.000577136,0.000577136,0.000577136
11,48.0216,0.92794,1.09951,1.31735,0.9646,0.5,0.70776,0.30688,1.89065,3.28376,2.62961,0.0006361,0.0006361,0.0006361
12,52.0131,1.13976,1.16728,1.4192,0.61627,0.60462,0.57456,0.21029,2.26385,3.52335,2.87391,0.00069484,0.00069484,0.00069484
13,55.9909,0.90232,1.14107,1.21179,0.7001,0.75,0.7015,0.22205,2.45733,4.42791,4.18318,0.000753336,0.000753336,0.000753336
14,60.1014,0.93488,0.98843,1.34466,0.6753,0.625,0.63442,0.2309,2.39551,3.02351,4.98984,0.000811567,0.000811567,0.000811567
15,64.2008,0.97795,1.02673,1.38075,0.2997,0.5,0.32903,0.11229,2.82716,6.33092,5.03667,0.000869509,0.000869509,0.000869509
16,68.2461,1.04193,1.18902,1.41444,0.34806,0.625,0.38492,0.14549,2.61234,6.73807,4.95581,0.000927144,0.000927144,0.000927144
17,72.5432,1.01687,1.10835,1.29187,1,0.125,0.23548,0.10484,2.70985,22.5999,4.70067,0.000984449,0.000984449,0.000984449
18,76.9526,1.03692,1.1031,1.39291,0.50289,0.5,0.44237,0.10135,2.70624,21.6593,5.96589,0.0010414,0.0010414,0.0010414
19,81.6389,1.16362,1.2781,1.39924,0.13264,0.25,0.19043,0.11749,2.33764,14.2981,3.17018,0.00109799,0.00109799,0.00109799
20,86.4282,1.14419,1.31711,1.45258,0.06817,0.25,0.15941,0.10092,2.22656,14.7061,3.15348,0.00115418,0.00115418,0.00115418
21,91.0712,1.03612,1.12875,1.38018,0.09979,0.25,0.28396,0.18112,2.4373,13.3947,4.19691,0.00120996,0.00120996,0.00120996
22,96.094,0.99154,0.90742,1.29589,1,0.125,0.16833,0.11516,2.90352,12.3269,7.42313,0.00126531,0.00126531,0.00126531
23,100.543,0.96312,0.90523,1.28552,0.29391,0.25,0.22933,0.13954,2.65433,15.6466,5.16263,0.0013202,0.0013202,0.0013202
24,104.878,0.96576,0.97746,1.32805,0.14808,0.125,0.12754,0.07561,2.99395,17.7547,4.10669,0.00137462,0.00137462,0.00137462
25,109.535,1.18931,0.98184,1.53459,0.01938,0.5,0.01085,0.00266,2.84989,8.85443,4.04038,0.00142855,0.00142855,0.00142855
26,114.127,1.14582,1.13967,1.41298,0.0067,0.125,0.0048,0.00067,3.455,10.3647,4.64789,0.00148197,0.00148197,0.00148197
27,118.731,1.10184,1.04856,1.53804,0.05743,0.125,0.00885,0.00186,3.47711,7.36737,5.98856,0.00153486,0.00153486,0.00153486
28,123.183,1.29711,1.05854,1.5189,0.10136,0.125,0.06657,0.00687,3.82062,10.7489,6.37938,0.0015872,0.0015872,0.0015872
29,127.104,1.43791,1.37092,1.85644,0.10136,0.125,0.06657,0.00687,3.82062,10.7489,6.37938,0.00163897,0.00163897,0.00163897
30,131.857,1.31515,1.17461,1.6128,0.20787,0.25,0.18085,0.02215,3.45611,13.3291,5.75685,0.00169015,0.00169015,0.00169015
31,136.868,1.24045,1.20416,1.44623,0.15799,0.375,0.19844,0.05882,3.51494,12.8548,8.46851,0.00174073,0.00174073,0.00174073
32,141.616,1.11831,1.02208,1.47061,0.0218,0.25,0.03009,0.00489,3.71346,35.7148,7.09268,0.00179068,0.00179068,0.00179068
