epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4996,1.73474,4.19674,1.6229,0.52621,0.2619,0.18082,0.07313,1.80939,4.41914,1.58843,0.00022864,0.00022864,0.00022864
2,52.4603,1.58729,2.37547,1.48759,0.55256,0.2381,0.24264,0.07819,2.1145,3.11954,2.11124,0.000471541,0.000471541,0.000471541
3,79.6381,1.74661,2.04346,1.49925,0.75688,0.14286,0.09027,0.02778,2.60162,3.15709,2.6007,0.000714325,0.000714325,0.000714325
4,107.499,1.66884,2.19035,1.57192,0.36078,0.23016,0.02466,0.00758,2.37212,17.0377,2.74833,0.000956904,0.000956904,0.000956904
5,134.889,1.9531,2.2242,1.70922,0.02148,0.24603,0.0126,0.00319,2.69919,194.028,4.26552,0.00119919,0.00119919,0.00119919
6,161.913,1.86935,1.99826,1.61941,0.41885,0.30952,0.05619,0.02078,2.60809,26.3546,4.91556,0.00142682,0.00142682,0.00142682
7,189.127,1.88857,1.9568,1.6511,0.78586,0.12698,0.11232,0.04143,2.61114,5.09782,3.17583,0.00142586,0.00142586,0.00142586
8,221.405,1.96467,2.0406,1.77143,0.36272,0.06349,0.01628,0.00453,2.75892,11.6561,3.01789,0.00142473,0.00142473,0.00142473
9,253.791,1.91189,1.93433,1.76001,0.40221,0.47619,0.11114,0.02708,2.37816,16.3677,2.54728,0.00142342,0.00142342,0.00142342
10,286.26,1.80533,1.82375,1.6314,0.75982,0.15083,0.11595,0.03329,2.48189,7.26227,2.4091,0.00142194,0.00142194,0.00142194
11,316.436,1.87317,1.79302,1.5911,0.41672,0.26984,0.05811,0.01291,2.78366,7.29478,2.83155,0.00142029,0.00142029,0.00142029
12,346.177,1.80063,1.78824,1.64039,0.79591,0.15079,0.13858,0.04492,2.39347,3.34216,2.4651,0.00141847,0.00141847,0.00141847
13,374.668,1.84443,1.75978,1.67245,0.79988,0.11111,0.10781,0.03334,2.55421,3.64049,2.51812,0.00141647,0.00141647,0.00141647
14,403.148,1.73203,1.64722,1.5934,0.86699,0.20326,0.20659,0.07169,2.20028,2.99614,2.24653,0.0014143,0.0014143,0.0014143
15,431.732,1.79073,1.61045,1.57503,0.88574,0.19841,0.19324,0.07286,2.1921,3.23561,1.9741,0.00141196,0.00141196,0.00141196
16,460.305,1.67684,1.66688,1.54906,0.81068,0.18254,0.10859,0.03592,2.30995,2.20738,2.19812,0.00140946,0.00140946,0.00140946
17,488.08,1.64524,1.54412,1.5365,0.90303,0.19048,0.19913,0.06585,2.08888,2.26393,1.99019,0.00140678,0.00140678,0.00140678
18,515.129,1.75366,1.61435,1.56142,0.85253,0.16667,0.15308,0.04393,2.28464,3.71459,2.10964,0.00140393,0.00140393,0.00140393
19,542.578,1.77999,1.5673,1.55802,0.47262,0.2381,0.16868,0.07793,2.21499,1.77857,2.01705,0.00140091,0.00140091,0.00140091
20,573.078,1.73169,1.49476,1.57295,0.55525,0.15079,0.18071,0.07315,2.14318,1.9428,1.95489,0.00139773,0.00139773,0.00139773
21,602.734,1.72812,1.45074,1.49143,0.90417,0.14286,0.17791,0.08766,2.12679,2.72704,1.96532,0.00139438,0.00139438,0.00139438
22,631.902,1.65146,1.42082,1.51909,0.90265,0.19048,0.23235,0.10373,1.98248,1.47606,1.87373,0.00139086,0.00139086,0.00139086
23,663.107,1.67651,1.44607,1.54007,0.4541,0.12698,0.11984,0.05325,2.39281,2.46373,2.12299,0.00138718,0.00138718,0.00138718
24,690.914,1.59445,1.42292,1.45487,0.86904,0.20853,0.23159,0.08494,2.09214,1.64354,1.94381,0.00138334,0.00138334,0.00138334
25,718.258,1.60783,1.37124,1.44484,0.85583,0.19048,0.19942,0.08222,1.98467,2.17416,1.8909,0.00137933,0.00137933,0.00137933
26,747.802,1.59125,1.4408,1.49862,0.56907,0.19048,0.22823,0.07711,2.38761,1.75453,2.28058,0.00137516,0.00137516,0.00137516
27,776.223,1.59177,1.36908,1.47044,0.8395,0.19048,0.2006,0.08168,2.06134,1.72552,1.91922,0.00137082,0.00137082,0.00137082
28,803.399,1.5646,1.38834,1.43596,0.52744,0.23016,0.18643,0.07375,2.15913,2.01303,1.8995,0.00136633,0.00136633,0.00136633
29,829.044,1.51789,1.23892,1.40967,0.91898,0.22246,0.26794,0.09967,2.17068,1.5677,1.96967,0.00136168,0.00136168,0.00136168
30,855.899,1.54477,1.18954,1.4064,0.88873,0.2381,0.22883,0.08454,2.22374,1.6622,2.05205,0.00135687,0.00135687,0.00135687
31,881.914,1.53205,1.21398,1.44081,0.60586,0.2415,0.19464,0.0746,2.37185,2.09781,2.21799,0.0013519,0.0013519,0.0013519
32,908.611,1.54936,1.2576,1.38726,0.88899,0.15896,0.19267,0.0845,2.02618,1.87501,1.92024,0.00134678,0.00134678,0.00134678
33,935.576,1.54117,1.22845,1.36094,0.87407,0.14381,0.16828,0.07272,2.17061,2.68604,2.11133,0.0013415,0.0013415,0.0013415
34,961.73,1.49354,1.15322,1.39299,0.54438,0.34641,0.25175,0.10536,2.01932,1.69098,1.86046,0.00133608,0.00133608,0.00133608
35,987.464,1.5588,1.26135,1.41378,0.5347,0.35714,0.28108,0.1129,2.12822,1.61156,1.8887,0.0013305,0.0013305,0.0013305
36,1013.33,1.4355,1.2441,1.41193,0.54373,0.2619,0.23339,0.08978,2.22741,1.56453,2.21624,0.00132476,0.00132476,0.00132476
37,1039.3,1.48181,1.24742,1.38099,0.88212,0.23214,0.23791,0.09238,2.12442,1.42762,1.92647,0.00131888,0.00131888,0.00131888
38,1065.66,1.45426,1.20011,1.35044,0.89462,0.21429,0.22887,0.08614,2.12903,1.52629,1.92612,0.00131286,0.00131286,0.00131286
39,1091.03,1.46163,1.16895,1.34783,0.876,0.21429,0.19845,0.08082,2.35049,1.50957,2.15368,0.00130668,0.00130668,0.00130668
40,1116.46,1.33971,1.1195,1.34029,0.89968,0.19841,0.19142,0.06673,2.16666,1.64399,2.01957,0.00130037,0.00130037,0.00130037
41,1141.27,1.38193,1.06383,1.31054,0.91163,0.19802,0.22598,0.08386,2.12487,1.66827,1.91619,0.00129391,0.00129391,0.00129391
42,1166.95,1.33645,1.0715,1.29415,0.88415,0.15079,0.21291,0.06823,2.32541,1.94067,2.08718,0.00128731,0.00128731,0.00128731
43,1191.86,1.30014,1.05367,1.31391,0.54029,0.34921,0.27799,0.09368,2.21063,1.80941,1.97227,0.00128057,0.00128057,0.00128057
44,1216.98,1.33646,1.04251,1.30062,0.51933,0.19841,0.16766,0.07194,2.27169,1.69172,2.01184,0.00127369,0.00127369,0.00127369
45,1241.64,1.47873,1.14379,1.40487,0.89171,0.2381,0.22749,0.07948,2.1782,1.51613,1.99881,0.00126667,0.00126667,0.00126667
46,1267.38,1.29902,0.96047,1.2708,0.52413,0.2619,0.23507,0.07452,2.24919,1.76698,2.22133,0.00125952,0.00125952,0.00125952
47,1292.81,1.4052,1.04928,1.28541,0.95403,0.23016,0.25157,0.08323,2.34503,1.57482,2.16002,0.00125224,0.00125224,0.00125224
48,1318.58,1.35468,1.0187,1.2501,0.27834,0.33333,0.23052,0.08397,2.15923,1.94684,1.99613,0.00124483,0.00124483,0.00124483
49,1344.35,1.38102,1.03387,1.24625,0.26485,0.3873,0.27724,0.11936,1.96306,1.40566,1.80603,0.00123728,0.00123728,0.00123728
50,1369.08,1.32278,0.98931,1.26019,0.54417,0.2381,0.24601,0.09269,2.20099,1.30344,2.03933,0.00122962,0.00122962,0.00122962
51,1395.03,1.28963,0.97166,1.22175,0.93625,0.2381,0.29124,0.11654,2.10525,1.29815,1.95233,0.00122182,0.00122182,0.00122182
52,1419.57,1.30101,1.0079,1.23737,0.55176,0.40476,0.25865,0.11638,2.11169,1.27677,1.86939,0.0012139,0.0012139,0.0012139
