epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.303,1.92361,4.26439,1.62137,0.36728,0.42308,0.35959,0.20587,1.74608,7.56062,1.69193,0.00011432,0.00011432,0.00011432
2,30.3231,1.3653,3.11503,1.41476,0.57763,0.42091,0.33346,0.18517,1.50329,8.31027,1.53472,0.000242915,0.000242915,0.000242915
3,44.1345,1.38282,2.44299,1.39526,0.54838,0.5,0.40247,0.22745,1.49564,5.18629,1.6385,0.000371449,0.000371449,0.000371449
4,58.373,1.45167,2.27081,1.37994,0.61336,0.61031,0.60546,0.28187,1.95399,4.35537,2.20646,0.000499875,0.000499875,0.000499875
5,73.6537,1.3626,2.07461,1.3946,0.53142,0.42308,0.44977,0.22493,1.9556,4.89545,2.09747,0.000628146,0.000628146,0.000628146
6,88.7003,1.38351,2.01341,1.41208,0.47917,0.60183,0.47568,0.2119,1.93352,7.36809,2.39563,0.000756214,0.000756214,0.000756214
7,104.297,1.53698,1.92466,1.44387,0.18265,0.30769,0.25119,0.10265,2.28009,16.0988,3.55569,0.000884034,0.000884034,0.000884034
8,119.576,1.60559,1.97416,1.42831,0.6047,0.26923,0.29911,0.12186,2.17151,5.62829,3.0031,0.00101156,0.00101156,0.00101156
9,134.637,1.61115,1.85119,1.52933,0.22569,0.42308,0.20678,0.056,2.00738,9.21679,2.93196,0.00113874,0.00113874,0.00113874
10,149.586,1.64563,1.97948,1.57532,0.04871,0.30769,0.10611,0.02776,2.39776,16.0765,4.13543,0.00126553,0.00126553,0.00126553
11,165.264,1.60945,1.77723,1.49502,0.33671,0.34615,0.2164,0.06194,2.99551,8.00112,4.12405,0.00139189,0.00139189,0.00139189
12,182.395,1.73466,2.02999,1.53309,0.21001,0.42953,0.15612,0.06463,2.65661,5.31475,4.04717,0.00141847,0.00141847,0.00141847
13,198.771,1.6633,1.95581,1.54716,0.21495,0.26923,0.10625,0.03872,2.35234,8.25362,3.2913,0.00141647,0.00141647,0.00141647
14,215.561,1.73804,2.0151,1.55163,0.08543,0.38462,0.04233,0.01403,2.18045,12.7767,3.38895,0.0014143,0.0014143,0.0014143
15,232.921,1.57233,1.81972,1.47686,0.10185,0.42308,0.10528,0.0394,2.25579,22.7417,3.93269,0.00141196,0.00141196,0.00141196
16,248.973,1.57159,1.8092,1.5993,0.22037,0.21777,0.10963,0.02968,2.70071,13.8959,5.25228,0.00140946,0.00140946,0.00140946
17,265.049,1.48978,1.79072,1.50746,0.20199,0.19231,0.13481,0.04224,2.06242,11.2847,3.21121,0.00140678,0.00140678,0.00140678
18,282.063,1.55344,1.58872,1.45837,0.2307,0.53846,0.22788,0.07512,2.38032,8.45805,2.65486,0.00140393,0.00140393,0.00140393
19,298.363,1.62437,1.59076,1.50025,0.31801,0.5,0.28837,0.13967,2.00876,5.38651,2.18269,0.00140091,0.00140091,0.00140091
20,314.082,1.44393,1.65768,1.48643,0.08232,0.53846,0.06559,0.02656,2.1046,45.2649,2.43666,0.00139773,0.00139773,0.00139773
21,329.655,1.48464,1.63244,1.50101,0.23797,0.57692,0.19572,0.08061,2.04025,8.68901,2.36016,0.00139438,0.00139438,0.00139438
22,344.885,1.53458,1.69706,1.49642,0.21682,0.23077,0.12573,0.0638,1.99859,10.0463,2.22708,0.00139086,0.00139086,0.00139086
23,361.408,1.62459,1.73883,1.40808,0.07895,0.30769,0.04195,0.02107,2.0238,8.76184,2.2392,0.00138718,0.00138718,0.00138718
24,376.539,1.61044,1.82605,1.52148,0.38034,0.30769,0.22056,0.09501,2.54012,6.5629,2.93431,0.00138334,0.00138334,0.00138334
